event_type,return,abs_return,direction
market_close,-0.0011012112671673346,0.0011012112671673346,-1.0
postmarket_close,-0.0027739681402768612,0.0027739681402768612,-1.0
premarket_open,-0.0011096619581998368,0.0011096619581998368,-1.0
market_open,0.0009660371746349483,0.0009660371746349483,1.0
market_close,0.0007458090035787901,0.0007458090035787901,1.0
postmarket_close,0.004311034877072517,0.004311034877072517,1.0
premarket_open,-1.777949508896537e-05,1.777949508896537e-05,-1.0
market_open,0.0032190485243097644,0.0032190485243097644,1.0
market_close,0.001709504848872223,0.001709504848872223,1.0
postmarket_close,-0.0007595424007138529,0.0007595424007138529,-1.0
premarket_open,-0.003597889002997512,0.003597889002997512,-1.0
market_open,0.00029563416879985205,0.00029563416879985205,1.0
market_close,0.001424504005154148,0.001424504005154148,1.0
postmarket_close,0.00044803761032041756,0.00044803761032041756,1.0
premarket_open,0.0005847094621977966,0.0005847094621977966,1.0
market_open,0.0010176770099616927,0.0010176770099616927,1.0
market_close,0.000704094149067469,0.000704094149067469,1.0
postmarket_close,0.0017084422836619595,0.0017084422836619595,1.0
premarket_open,-0.0006369745114401804,0.0006369745114401804,-1.0
market_open,9.229888135853237e-05,9.229888135853237e-05,1.0
market_close,6.328274155364966e-05,6.328274155364966e-05,1.0
postmarket_close,0.0009409702624627592,0.0009409702624627592,1.0
premarket_open,0.000703508447451151,0.000703508447451151,1.0
market_open,0.0011499911871089008,0.0011499911871089008,1.0
market_close,0.0032544510604284316,0.0032544510604284316,1.0
postmarket_close,0.0002556408553144873,0.0002556408553144873,1.0
premarket_open,0.0005247789470126385,0.0005247789470126385,1.0
market_open,-0.0005818677610830436,0.0005818677610830436,-1.0
market_close,-0.0010856823829153983,0.0010856823829153983,-1.0
postmarket_close,-0.000819142893885072,0.000819142893885072,-1.0
premarket_open,-0.0008312375385172155,0.0008312375385172155,-1.0
market_open,0.0021509438487365973,0.0021509438487365973,1.0
market_close,0.0026689237484260886,0.0026689237484260886,1.0
postmarket_close,-0.0004512622651674514,0.0004512622651674514,-1.0
premarket_open,0.00043984996697465917,0.00043984996697465917,1.0
market_open,-0.0011038035694580506,0.0011038035694580506,-1.0
market_close,-0.001022007909966427,0.001022007909966427,-1.0
postmarket_close,-0.0014502089905309434,0.0014502089905309434,-1.0
premarket_open,-0.0008070195644065414,0.0008070195644065414,-1.0
market_open,-0.0030819119120181204,0.0030819119120181204,-1.0
market_close,0.0005611237901888,0.0005611237901888,1.0
postmarket_close,-0.0005954593122734497,0.0005954593122734497,-1.0
premarket_open,-0.0007444421867774942,0.0007444421867774942,-1.0
market_open,0.001962077420180952,0.001962077420180952,1.0
market_close,0.0014613072065772226,0.0014613072065772226,1.0
postmarket_close,-0.007165276415754707,0.007165276415754707,-1.0
premarket_open,-0.0002854703061235808,0.0002854703061235808,-1.0
market_open,0.004009523698885076,0.004009523698885076,1.0
market_close,-0.0007992487479131505,0.0007992487479131505,-1.0
postmarket_close,-0.0022743869389014737,0.0022743869389014737,-1.0
premarket_open,-0.0007641350998319751,0.0007641350998319751,-1.0
market_open,0.003777525243116253,0.003777525243116253,1.0
market_close,-0.0015378367218016331,0.0015378367218016331,-1.0
postmarket_close,-0.001143710459695968,0.001143710459695968,-1.0
premarket_open,-0.0010541620068902358,0.0010541620068902358,-1.0
market_open,-0.0014351901873855821,0.0014351901873855821,-1.0
market_close,-0.0006330824734848139,0.0006330824734848139,-1.0
postmarket_close,0.0018427592248126956,0.0018427592248126956,1.0
premarket_open,0.0007341597529717525,0.0007341597529717525,1.0
market_open,0.0012213033181529553,0.0012213033181529553,1.0
market_close,-0.0033386012943423804,0.0033386012943423804,-1.0
postmarket_close,-0.0032650728397585205,0.0032650728397585205,-1.0
premarket_open,0.0003235442347213624,0.0003235442347213624,1.0
market_open,-0.0023945035680483784,0.0023945035680483784,-1.0
market_close,0.00016438593174838978,0.00016438593174838978,1.0
postmarket_close,-0.001592851615116908,0.001592851615116908,-1.0
premarket_open,-0.001221219241130167,0.001221219241130167,-1.0
market_open,0.0013242117454848046,0.0013242117454848046,1.0
market_close,-0.0015759906285359726,0.0015759906285359726,-1.0
postmarket_close,-0.00023709888592571282,0.00023709888592571282,-1.0
premarket_open,-0.0023017944986611916,0.0023017944986611916,-1.0
market_open,-0.0025137610642413932,0.0025137610642413932,-1.0
market_close,0.00012328899170999108,0.00012328899170999108,1.0
postmarket_close,0.0001199437776620016,0.0001199437776620016,1.0
premarket_open,0.0005830654997229789,0.0005830654997229789,1.0
market_open,0.0012813161184215272,0.0012813161184215272,1.0
market_close,-0.0017962564793334579,0.0017962564793334579,-1.0
postmarket_close,-6.898020380918801e-05,6.898020380918801e-05,-1.0
premarket_open,0.0018452534121762287,0.0018452534121762287,1.0
